id,event,from_search,directly_from_search,from_stream,directly_from_stream,from_convo_search,directly_from_convo_search,from_quote_search,directly_from_quote_search,from_timeline_search,directly_from_timeline_search,inserted_at,last_updated_at
1575641224928579584,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 00:22:39.560826+00:00,2022-09-30 01:01:03.717906+00:00
1575651745702633472,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 01:01:03.717649+00:00,2022-09-30 01:01:03.717649+00:00
1575653999507697665,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 01:11:02.318465+00:00,2022-09-30 02:26:02.449487+00:00
1575673027374641152,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 02:26:02.449230+00:00,2022-09-30 02:31:02.740339+00:00
1575673887139844096,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 02:31:02.740092+00:00,2022-09-30 02:51:01.616051+00:00
1575679000147550208,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 02:51:01.615791+00:00,2022-09-30 02:56:01.827026+00:00
1575680062351089664,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 02:56:01.826443+00:00,2022-09-30 03:46:00.933324+00:00
1575692137165127680,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 03:46:00.933070+00:00,2022-09-30 03:56:00.701029+00:00
1575695582726746112,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 03:56:00.700775+00:00,2022-09-30 04:16:01.419244+00:00
1575700722947043329,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 04:16:01.418985+00:00,2022-09-30 04:31:04.950348+00:00
1575703927202381828,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 04:31:04.950086+00:00,2022-09-30 04:51:02.484021+00:00
1575709678994018304,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 04:51:02.483738+00:00,2022-09-30 05:06:02.247332+00:00
1575713507651489792,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 05:06:02.247063+00:00,2022-09-30 05:11:19.446400+00:00
1575714171043184640,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 05:11:19.446148+00:00,2022-09-30 05:16:02.296301+00:00
1575715741029965825,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 05:16:02.296054+00:00,2022-09-30 05:31:13.195259+00:00
1575719614813650944,bucha-uk,True,False,False,False,False,False,False,False,False,False,2022-09-30 11:57:50.952476+00:00,2022-09-30 11:57:50.952476+00:00
1575720243032252417,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 05:36:03.788629+00:00,2022-09-30 05:56:04.332269+00:00
1575725400692785153,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 05:56:04.332128+00:00,2022-09-30 05:56:04.332128+00:00
1575725760580550656,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 05:56:04.331857+00:00,2022-09-30 06:11:04.539783+00:00
1575727301005692928,bucha-uk,True,False,False,False,False,False,False,False,False,False,2022-09-30 11:16:12.567000+00:00,2022-09-30 11:16:12.567000+00:00
1575729172437082112,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:11:04.539513+00:00,2022-09-30 06:26:03.781410+00:00
1575733576112680962,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:26:03.781144+00:00,2022-09-30 06:31:06.032767+00:00
1575734592572489729,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:31:06.032457+00:00,2022-09-30 06:36:04.409888+00:00
1575735024992673792,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:36:04.409584+00:00,2022-09-30 06:56:33.492550+00:00
1575740134984753152,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:56:33.492441+00:00,2022-09-30 06:56:33.492441+00:00
1575740367483203584,bucha-uk,True,False,False,False,False,False,False,False,False,False,2022-09-30 08:01:15.200696+00:00,2022-09-30 08:01:15.200696+00:00
1575740479437955072,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:56:33.492312+00:00,2022-09-30 06:56:33.492312+00:00
1575740719074942977,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 06:56:33.491887+00:00,2022-09-30 07:06:05.766704+00:00
1575742864868245504,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:06:05.766357+00:00,2022-09-30 07:11:14.168744+00:00
1575744139798671364,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:11:14.168638+00:00,2022-09-30 07:11:14.168638+00:00
1575744866839298049,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:11:14.168522+00:00,2022-09-30 07:11:14.168522+00:00
1575744959910903808,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:11:14.168277+00:00,2022-09-30 07:11:14.168277+00:00
1575750449663471616,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:36:13.308943+00:00,2022-09-30 07:41:05.211320+00:00
1575751427057541120,bucha-uk,True,False,False,False,False,False,False,False,False,False,2022-09-30 07:41:05.211581+00:00,2022-09-30 07:41:05.211581+00:00
1575751430321078272,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:41:05.211213+00:00,2022-09-30 07:41:05.211213+00:00
1575752319874256896,bucha-uk,True,False,False,False,False,False,False,False,False,False,2022-09-30 07:41:05.211456+00:00,2022-09-30 07:41:05.211456+00:00
1575752324860899328,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:41:05.211092+00:00,2022-09-30 07:41:05.211092+00:00
1575752455253417984,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:41:05.210830+00:00,2022-09-30 07:46:05.697686+00:00
1575752979885555716,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:46:05.697524+00:00,2022-09-30 07:46:05.697524+00:00
1575753196450058240,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:46:05.697422+00:00,2022-09-30 07:46:05.697422+00:00
1575753277924597760,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:46:05.697315+00:00,2022-09-30 07:46:05.697315+00:00
1575753621584502784,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:46:05.697199+00:00,2022-09-30 07:46:05.697199+00:00
1575753768247128064,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:46:05.696934+00:00,2022-09-30 07:51:12.953118+00:00
1575754224235089921,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:51:12.952997+00:00,2022-09-30 07:51:12.952997+00:00
1575754559976542213,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:51:12.952733+00:00,2022-09-30 07:56:04.580053+00:00
1575756289481007104,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 07:56:04.579778+00:00,2022-09-30 08:01:15.200592+00:00
1575756410272747520,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:01:15.200486+00:00,2022-09-30 08:01:15.200486+00:00
1575756615373901825,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:01:15.200372+00:00,2022-09-30 08:01:15.200372+00:00
1575756912368369666,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:01:15.200217+00:00,2022-09-30 08:01:15.200217+00:00
1575757253420126208,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:01:15.199733+00:00,2022-09-30 08:06:04.733515+00:00
1575758046243872768,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:06:04.733407+00:00,2022-09-30 08:06:04.733407+00:00
1575758756771958785,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:06:04.733288+00:00,2022-09-30 08:06:04.733288+00:00
1575758776485187586,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:06:04.733000+00:00,2022-09-30 08:11:05.558104+00:00
1575758839810359297,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:11:05.557839+00:00,2022-09-30 08:16:18.160862+00:00
1575761075034722304,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:16:18.160601+00:00,2022-09-30 08:31:09.096481+00:00
1575765048315691013,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:31:09.096367+00:00,2022-09-30 08:31:09.096367+00:00
1575765112925073408,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:31:09.096111+00:00,2022-09-30 08:36:05.018974+00:00
1575765220781588480,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.018872+00:00,2022-09-30 08:36:05.018872+00:00
1575765286686527489,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.018765+00:00,2022-09-30 08:36:05.018765+00:00
1575765369565761536,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.018662+00:00,2022-09-30 08:36:05.018662+00:00
1575765370157371392,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.018557+00:00,2022-09-30 08:36:05.018557+00:00
1575765442307977217,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.018445+00:00,2022-09-30 08:36:05.018445+00:00
1575765649946968064,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.018253+00:00,2022-09-30 08:36:05.018253+00:00
1575766115539570688,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.016738+00:00,2022-09-30 08:36:05.016738+00:00
1575766266039611393,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.016621+00:00,2022-09-30 08:36:05.016621+00:00
1575766361787469829,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:36:05.016346+00:00,2022-09-30 08:41:43.619730+00:00
1575766403453693953,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:41:43.619628+00:00,2022-09-30 08:41:43.619628+00:00
1575766414035931136,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:41:43.619523+00:00,2022-09-30 08:41:43.619523+00:00
1575766753682288642,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:41:43.619414+00:00,2022-09-30 08:41:43.619414+00:00
1575767116073926656,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:41:43.619298+00:00,2022-09-30 08:41:43.619298+00:00
1575767228624113664,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:41:43.619032+00:00,2022-09-30 08:41:43.619032+00:00
1575767685983789057,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:41:43.617889+00:00,2022-09-30 08:46:05.690026+00:00
1575768487951147008,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:46:05.689912+00:00,2022-09-30 08:46:05.689912+00:00
1575768716058718209,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:46:05.689665+00:00,2022-09-30 08:51:07.310458+00:00
1575769184591433729,bucha-uk,True,True,False,False,False,False,False,False,False,False,2022-09-30 08:51:07.310353+00:00,2022-09-30 08:51:07.310353+00:00
